Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1534338647.307	     0.657	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_100.out --out_folder ./output3_postprocessed
8	:	1534338647.331	     0.635	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_15.out --out_folder ./output3_postprocessed
6	:	1534338647.323	     0.648	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_13.out --out_folder ./output3_postprocessed
14	:	1534338647.445	     0.529	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_20.out --out_folder ./output3_postprocessed
12	:	1534338647.378	     0.601	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_19.out --out_folder ./output3_postprocessed
1	:	1534338647.305	     0.687	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_0.out --out_folder ./output3_postprocessed
7	:	1534338647.325	     0.668	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_14.out --out_folder ./output3_postprocessed
10	:	1534338647.335	     0.667	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_17.out --out_folder ./output3_postprocessed
4	:	1534338647.320	     0.690	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_11.out --out_folder ./output3_postprocessed
5	:	1534338647.322	     0.690	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_12.out --out_folder ./output3_postprocessed
9	:	1534338647.333	     0.689	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_16.out --out_folder ./output3_postprocessed
11	:	1534338647.344	     0.680	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_18.out --out_folder ./output3_postprocessed
13	:	1534338647.437	     0.625	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_1.out --out_folder ./output3_postprocessed
15	:	1534338647.450	     0.636	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_21.out --out_folder ./output3_postprocessed
17	:	1534338647.467	     0.624	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_23.out --out_folder ./output3_postprocessed
21	:	1534338647.551	     0.579	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_27.out --out_folder ./output3_postprocessed
20	:	1534338647.538	     0.712	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_26.out --out_folder ./output3_postprocessed
22	:	1534338647.578	     0.687	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_28.out --out_folder ./output3_postprocessed
16	:	1534338647.458	     0.851	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_22.out --out_folder ./output3_postprocessed
18	:	1534338647.510	     0.812	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_24.out --out_folder ./output3_postprocessed
23	:	1534338647.603	     0.738	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_29.out --out_folder ./output3_postprocessed
24	:	1534338647.615	     0.752	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_2.out --out_folder ./output3_postprocessed
19	:	1534338647.514	     0.893	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_25.out --out_folder ./output3_postprocessed
26	:	1534338647.970	     0.552	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_31.out --out_folder ./output3_postprocessed
27	:	1534338647.975	     0.600	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_32.out --out_folder ./output3_postprocessed
29	:	1534338647.991	     0.585	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_34.out --out_folder ./output3_postprocessed
33	:	1534338648.013	     0.565	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_38.out --out_folder ./output3_postprocessed
25	:	1534338647.967	     0.652	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_30.out --out_folder ./output3_postprocessed
